resuming from observation id 58,100,202 (1,506,000 rows kept)
6,341,161 annotated observations in bbox

  16,400/6,341,161 scanned, 1,522,400 kept, pace 1.05s, 0 throttled
  16,600/6,341,161 scanned, 1,522,600 kept, pace 1.05s, 0 throttled
  16,800/6,341,161 scanned, 1,522,800 kept, pace 1.05s, 0 throttled
  17,000/6,341,161 scanned, 1,523,000 kept, pace 1.05s, 0 throttled
  17,200/6,341,161 scanned, 1,523,200 kept, pace 1.05s, 0 throttled
  17,400/6,341,161 scanned, 1,523,400 kept, pace 1.05s, 0 throttled
  17,600/6,341,161 scanned, 1,523,600 kept, pace 1.05s, 0 throttled
  17,800/6,341,161 scanned, 1,523,800 kept, pace 1.05s, 0 throttled
  18,000/6,341,161 scanned, 1,524,000 kept, pace 1.05s, 0 throttled
  18,200/6,341,161 scanned, 1,524,200 kept, pace 1.05s, 0 throttled
  18,400/6,341,161 scanned, 1,524,400 kept, pace 1.05s, 0 throttled
  18,600/6,341,161 scanned, 1,524,600 kept, pace 1.05s, 0 throttled
  18,800/6,341,161 scanned, 1,524,800 kept, pace 1.05s, 0 throttled
  19,000/6,341,161 scanned, 1,525,000 kept, pace 1.05s, 0 throttled
  19,200/6,341,161 scanned, 1,525,200 kept, pace 1.05s, 0 throttled
  19,400/6,341,161 scanned, 1,525,400 kept, pace 1.05s, 0 throttled
  19,600/6,341,161 scanned, 1,525,600 kept, pace 1.05s, 0 throttled
  19,800/6,341,161 scanned, 1,525,800 kept, pace 1.05s, 0 throttled
  20,000/6,341,161 scanned, 1,526,000 kept, pace 1.05s, 0 throttled
  20,200/6,341,161 scanned, 1,526,200 kept, pace 1.05s, 0 throttled
  20,400/6,341,161 scanned, 1,526,400 kept, pace 1.05s, 0 throttled
  20,600/6,341,161 scanned, 1,526,600 kept, pace 1.05s, 0 throttled
  20,800/6,341,161 scanned, 1,526,800 kept, pace 1.05s, 0 throttled
  21,000/6,341,161 scanned, 1,527,000 kept, pace 1.05s, 0 throttled
  21,200/6,341,161 scanned, 1,527,200 kept, pace 1.05s, 0 throttled
  21,400/6,341,161 scanned, 1,527,400 kept, pace 1.05s, 0 throttled
  21,600/6,341,161 scanned, 1,527,600 kept, pace 1.05s, 0 throttled
  21,800/6,341,161 scanned, 1,527,800 kept, pace 1.05s, 0 throttled
  22,000/6,341,161 scanned, 1,528,000 kept, pace 1.05s, 0 throttled
  22,200/6,341,161 scanned, 1,528,200 kept, pace 1.05s, 0 throttled
  22,400/6,341,161 scanned, 1,528,400 kept, pace 1.05s, 0 throttled
  22,600/6,341,161 scanned, 1,528,600 kept, pace 1.05s, 0 throttled
  22,800/6,341,161 scanned, 1,528,800 kept, pace 1.05s, 0 throttled
  23,000/6,341,161 scanned, 1,529,000 kept, pace 1.05s, 0 throttled
  23,200/6,341,161 scanned, 1,529,200 kept, pace 1.05s, 0 throttled
  23,400/6,341,161 scanned, 1,529,400 kept, pace 1.05s, 0 throttled
  23,600/6,341,161 scanned, 1,529,600 kept, pace 1.05s, 0 throttled
  23,800/6,341,161 scanned, 1,529,800 kept, pace 1.05s, 0 throttled
  24,000/6,341,161 scanned, 1,530,000 kept, pace 1.05s, 0 throttled
  24,200/6,341,161 scanned, 1,530,200 kept, pace 1.05s, 0 throttled
  24,400/6,341,161 scanned, 1,530,400 kept, pace 1.05s, 0 throttled
  24,600/6,341,161 scanned, 1,530,600 kept, pace 1.05s, 0 throttled
  24,800/6,341,161 scanned, 1,530,800 kept, pace 1.05s, 0 throttled
  25,000/6,341,161 scanned, 1,531,000 kept, pace 1.05s, 0 throttled
  25,200/6,341,161 scanned, 1,531,200 kept, pace 1.05s, 0 throttled
  25,400/6,341,161 scanned, 1,531,400 kept, pace 1.05s, 0 throttled
  25,600/6,341,161 scanned, 1,531,600 kept, pace 1.05s, 0 throttled
  25,800/6,341,161 scanned, 1,531,800 kept, pace 1.05s, 0 throttled
  26,000/6,341,161 scanned, 1,532,000 kept, pace 1.05s, 0 throttled
  26,200/6,341,161 scanned, 1,532,200 kept, pace 1.05s, 0 throttled
  26,400/6,341,161 scanned, 1,532,400 kept, pace 1.05s, 0 throttled
  26,600/6,341,161 scanned, 1,532,600 kept, pace 1.05s, 0 throttled
  26,800/6,341,161 scanned, 1,532,800 kept, pace 1.05s, 0 throttled
  27,000/6,341,161 scanned, 1,533,000 kept, pace 1.05s, 0 throttled
  27,200/6,341,161 scanned, 1,533,200 kept, pace 1.05s, 0 throttled
  27,400/6,341,161 scanned, 1,533,400 kept, pace 1.05s, 0 throttled
  27,600/6,341,161 scanned, 1,533,600 kept, pace 1.05s, 0 throttled
  27,800/6,341,161 scanned, 1,533,800 kept, pace 1.05s, 0 throttled
  28,000/6,341,161 scanned, 1,534,000 kept, pace 1.05s, 0 throttled
  28,200/6,341,161 scanned, 1,534,200 kept, pace 1.05s, 0 throttled
  28,400/6,341,161 scanned, 1,534,400 kept, pace 1.05s, 0 throttled
  28,600/6,341,161 scanned, 1,534,600 kept, pace 1.05s, 0 throttled
  28,800/6,341,161 scanned, 1,534,800 kept, pace 1.05s, 0 throttled
  29,000/6,341,161 scanned, 1,535,000 kept, pace 1.05s, 0 throttled
