resuming from observation id 58,100,202 (1,506,000 rows kept)
6,341,161 annotated observations in bbox

  964,000/6,342,579 scanned, 2,720,800 kept, pace 1.05s, 9 throttled
  964,200/6,342,579 scanned, 2,721,000 kept, pace 1.05s, 9 throttled
  964,400/6,342,579 scanned, 2,721,200 kept, pace 1.05s, 9 throttled
  964,600/6,342,579 scanned, 2,721,400 kept, pace 1.05s, 9 throttled
  964,800/6,342,579 scanned, 2,721,600 kept, pace 1.05s, 9 throttled
  965,000/6,342,579 scanned, 2,721,800 kept, pace 1.05s, 9 throttled
  965,200/6,342,579 scanned, 2,722,000 kept, pace 1.05s, 9 throttled
  965,400/6,342,579 scanned, 2,722,200 kept, pace 1.05s, 9 throttled
  965,600/6,342,579 scanned, 2,722,400 kept, pace 1.05s, 9 throttled
  965,800/6,342,579 scanned, 2,722,600 kept, pace 1.05s, 9 throttled
  966,000/6,342,579 scanned, 2,722,800 kept, pace 1.05s, 9 throttled
  966,200/6,342,579 scanned, 2,723,000 kept, pace 1.05s, 9 throttled
  966,400/6,342,579 scanned, 2,723,200 kept, pace 1.05s, 9 throttled
  966,600/6,342,579 scanned, 2,723,400 kept, pace 1.05s, 9 throttled
  966,800/6,342,579 scanned, 2,723,600 kept, pace 1.05s, 9 throttled
  967,000/6,342,579 scanned, 2,723,800 kept, pace 1.05s, 9 throttled
  967,200/6,342,579 scanned, 2,724,000 kept, pace 1.05s, 9 throttled
  967,400/6,342,579 scanned, 2,724,200 kept, pace 1.05s, 9 throttled
  967,600/6,342,579 scanned, 2,724,400 kept, pace 1.05s, 9 throttled
  967,800/6,342,579 scanned, 2,724,600 kept, pace 1.05s, 9 throttled
  968,000/6,342,579 scanned, 2,724,800 kept, pace 1.05s, 9 throttled
  968,200/6,342,579 scanned, 2,725,000 kept, pace 1.05s, 9 throttled
  968,400/6,342,579 scanned, 2,725,200 kept, pace 1.05s, 9 throttled
  968,600/6,342,579 scanned, 2,725,400 kept, pace 1.05s, 9 throttled
  968,800/6,342,579 scanned, 2,725,600 kept, pace 1.05s, 9 throttled
  969,000/6,342,579 scanned, 2,725,800 kept, pace 1.05s, 9 throttled
  969,200/6,342,579 scanned, 2,726,000 kept, pace 1.05s, 9 throttled
  969,400/6,342,579 scanned, 2,726,200 kept, pace 1.05s, 9 throttled
  969,600/6,342,579 scanned, 2,726,400 kept, pace 1.05s, 9 throttled
  969,800/6,342,579 scanned, 2,726,600 kept, pace 1.05s, 9 throttled
  970,000/6,342,579 scanned, 2,726,800 kept, pace 1.05s, 9 throttled
  970,200/6,342,579 scanned, 2,727,000 kept, pace 1.05s, 9 throttled
  970,400/6,342,579 scanned, 2,727,200 kept, pace 1.05s, 9 throttled
  970,600/6,342,579 scanned, 2,727,400 kept, pace 1.05s, 9 throttled
  970,800/6,342,579 scanned, 2,727,600 kept, pace 1.05s, 9 throttled
  971,000/6,342,579 scanned, 2,727,800 kept, pace 1.05s, 9 throttled
  971,200/6,342,579 scanned, 2,728,000 kept, pace 1.05s, 9 throttled
  971,400/6,342,579 scanned, 2,728,200 kept, pace 1.05s, 9 throttled
  971,600/6,342,579 scanned, 2,728,400 kept, pace 1.05s, 9 throttled
  971,800/6,342,579 scanned, 2,728,600 kept, pace 1.05s, 9 throttled
  972,000/6,342,579 scanned, 2,728,800 kept, pace 1.05s, 9 throttled
  972,200/6,342,579 scanned, 2,729,000 kept, pace 1.05s, 9 throttled
  972,400/6,342,579 scanned, 2,729,200 kept, pace 1.05s, 9 throttled
  972,600/6,342,579 scanned, 2,729,400 kept, pace 1.05s, 9 throttled
  972,800/6,342,579 scanned, 2,729,600 kept, pace 1.05s, 9 throttled
  973,000/6,342,579 scanned, 2,729,800 kept, pace 1.05s, 9 throttled
  973,200/6,342,579 scanned, 2,730,000 kept, pace 1.05s, 9 throttled
  973,400/6,342,579 scanned, 2,730,200 kept, pace 1.05s, 9 throttled
  973,600/6,342,579 scanned, 2,730,400 kept, pace 1.05s, 9 throttled
  973,800/6,342,579 scanned, 2,730,600 kept, pace 1.05s, 9 throttled
  974,000/6,342,579 scanned, 2,730,800 kept, pace 1.05s, 9 throttled
  974,200/6,342,579 scanned, 2,731,000 kept, pace 1.05s, 9 throttled
  974,400/6,342,579 scanned, 2,731,200 kept, pace 1.05s, 9 throttled
  974,600/6,342,579 scanned, 2,731,400 kept, pace 1.05s, 9 throttled
  974,800/6,342,579 scanned, 2,731,600 kept, pace 1.05s, 9 throttled
  975,000/6,342,579 scanned, 2,731,800 kept, pace 1.05s, 9 throttled
  975,200/6,342,579 scanned, 2,732,000 kept, pace 1.05s, 9 throttled
  975,400/6,342,579 scanned, 2,732,200 kept, pace 1.05s, 9 throttled
  975,600/6,342,579 scanned, 2,732,400 kept, pace 1.05s, 9 throttled
  975,800/6,342,579 scanned, 2,732,600 kept, pace 1.05s, 9 throttled
  976,000/6,342,579 scanned, 2,732,800 kept, pace 1.05s, 9 throttled
  976,200/6,342,579 scanned, 2,733,000 kept, pace 1.05s, 9 throttled
  976,400/6,342,579 scanned, 2,733,200 kept, pace 1.05s, 9 throttled
  976,600/6,342,579 scanned, 2,733,400 kept, pace 1.05s, 9 throttled
  976,800/6,342,579 scanned, 2,733,600 kept, pace 1.05s, 9 throttled
  977,000/6,342,579 scanned, 2,733,800 kept, pace 1.05s, 9 throttled
  977,200/6,342,579 scanned, 2,734,000 kept, pace 1.05s, 9 throttled
  977,400/6,342,579 scanned, 2,734,200 kept, pace 1.05s, 9 throttled
  977,600/6,342,579 scanned, 2,734,400 kept, pace 1.05s, 9 throttled
  977,800/6,342,579 scanned, 2,734,600 kept, pace 1.05s, 9 throttled
  978,000/6,342,579 scanned, 2,734,800 kept, pace 1.05s, 9 throttled
  978,200/6,342,579 scanned, 2,735,000 kept, pace 1.05s, 9 throttled
  978,400/6,342,579 scanned, 2,735,200 kept, pace 1.05s, 9 throttled
  978,600/6,342,579 scanned, 2,735,400 kept, pace 1.05s, 9 throttled
  978,800/6,342,579 scanned, 2,735,600 kept, pace 1.05s, 9 throttled
  979,000/6,342,579 scanned, 2,735,800 kept, pace 1.05s, 9 throttled
  979,200/6,342,579 scanned, 2,736,000 kept, pace 1.05s, 9 throttled
  979,400/6,342,579 scanned, 2,736,200 kept, pace 1.05s, 9 throttled
  979,600/6,342,579 scanned, 2,736,400 kept, pace 1.05s, 9 throttled
  979,800/6,342,579 scanned, 2,736,600 kept, pace 1.05s, 9 throttled
  980,000/6,342,579 scanned, 2,736,800 kept, pace 1.05s, 9 throttled
  980,200/6,342,579 scanned, 2,737,000 kept, pace 1.05s, 9 throttled
  980,400/6,342,579 scanned, 2,737,200 kept, pace 1.05s, 9 throttled
  980,600/6,342,579 scanned, 2,737,400 kept, pace 1.05s, 9 throttled
  980,800/6,342,579 scanned, 2,737,600 kept, pace 1.05s, 9 throttled
  981,000/6,342,579 scanned, 2,737,800 kept, pace 1.05s, 9 throttled
  981,200/6,342,579 scanned, 2,738,000 kept, pace 1.05s, 9 throttled
  981,400/6,342,579 scanned, 2,738,200 kept, pace 1.05s, 9 throttled
  981,600/6,342,579 scanned, 2,738,400 kept, pace 1.05s, 9 throttled
  981,800/6,342,579 scanned, 2,738,600 kept, pace 1.05s, 9 throttled
  982,000/6,342,579 scanned, 2,738,800 kept, pace 1.05s, 9 throttled
  982,200/6,342,579 scanned, 2,739,000 kept, pace 1.05s, 9 throttled
  982,400/6,342,579 scanned, 2,739,200 kept, pace 1.05s, 9 throttled
  982,600/6,342,579 scanned, 2,739,400 kept, pace 1.05s, 9 throttled
  982,800/6,342,579 scanned, 2,739,600 kept, pace 1.05s, 9 throttled
  983,000/6,342,579 scanned, 2,739,800 kept, pace 1.05s, 9 throttled
  983,200/6,342,579 scanned, 2,740,000 kept, pace 1.05s, 9 throttled
  983,400/6,342,579 scanned, 2,740,200 kept, pace 1.05s, 9 throttled
  983,600/6,342,579 scanned, 2,740,400 kept, pace 1.05s, 9 throttled
  983,800/6,342,579 scanned, 2,740,600 kept, pace 1.05s, 9 throttled
  984,000/6,342,579 scanned, 2,740,800 kept, pace 1.05s, 9 throttled
  984,200/6,342,579 scanned, 2,741,000 kept, pace 1.05s, 9 throttled
  984,400/6,342,579 scanned, 2,741,200 kept, pace 1.05s, 9 throttled
  984,600/6,342,579 scanned, 2,741,400 kept, pace 1.05s, 9 throttled
  984,800/6,342,579 scanned, 2,741,600 kept, pace 1.05s, 9 throttled
  985,000/6,342,579 scanned, 2,741,800 kept, pace 1.05s, 9 throttled
  985,200/6,342,579 scanned, 2,742,000 kept, pace 1.05s, 9 throttled
  985,400/6,342,579 scanned, 2,742,200 kept, pace 1.05s, 9 throttled
  985,600/6,342,579 scanned, 2,742,400 kept, pace 1.05s, 9 throttled
  985,800/6,342,579 scanned, 2,742,600 kept, pace 1.05s, 9 throttled
  986,000/6,342,579 scanned, 2,742,800 kept, pace 1.05s, 9 throttled
  986,200/6,342,579 scanned, 2,743,000 kept, pace 1.05s, 9 throttled
  986,400/6,342,579 scanned, 2,743,200 kept, pace 1.05s, 9 throttled
  986,600/6,342,579 scanned, 2,743,400 kept, pace 1.05s, 9 throttled
  986,800/6,342,579 scanned, 2,743,600 kept, pace 1.05s, 9 throttled
  987,000/6,342,579 scanned, 2,743,800 kept, pace 1.05s, 9 throttled
  987,200/6,342,579 scanned, 2,744,000 kept, pace 1.05s, 9 throttled
  987,400/6,342,579 scanned, 2,744,200 kept, pace 1.05s, 9 throttled
  987,600/6,342,579 scanned, 2,744,400 kept, pace 1.05s, 9 throttled
  987,800/6,342,579 scanned, 2,744,600 kept, pace 1.05s, 9 throttled
  988,000/6,342,579 scanned, 2,744,800 kept, pace 1.05s, 9 throttled
  988,200/6,342,579 scanned, 2,745,000 kept, pace 1.05s, 9 throttled
  988,400/6,342,579 scanned, 2,745,200 kept, pace 1.05s, 9 throttled
  988,600/6,342,579 scanned, 2,745,400 kept, pace 1.05s, 9 throttled
  988,800/6,342,579 scanned, 2,745,600 kept, pace 1.05s, 9 throttled
  989,000/6,342,579 scanned, 2,745,800 kept, pace 1.05s, 9 throttled
  989,200/6,342,579 scanned, 2,746,000 kept, pace 1.05s, 9 throttled
  989,400/6,342,579 scanned, 2,746,200 kept, pace 1.05s, 9 throttled
  989,600/6,342,579 scanned, 2,746,400 kept, pace 1.05s, 9 throttled
  989,800/6,342,579 scanned, 2,746,600 kept, pace 1.05s, 9 throttled
  990,000/6,342,579 scanned, 2,746,800 kept, pace 1.05s, 9 throttled
  990,200/6,342,579 scanned, 2,747,000 kept, pace 1.05s, 9 throttled
  990,400/6,342,579 scanned, 2,747,200 kept, pace 1.05s, 9 throttled
  990,600/6,342,579 scanned, 2,747,400 kept, pace 1.05s, 9 throttled
  990,800/6,342,579 scanned, 2,747,600 kept, pace 1.05s, 9 throttled
  991,000/6,342,579 scanned, 2,747,800 kept, pace 1.05s, 9 throttled
  991,200/6,342,579 scanned, 2,748,000 kept, pace 1.05s, 9 throttled
  991,400/6,342,579 scanned, 2,748,200 kept, pace 1.05s, 9 throttled
  991,600/6,342,579 scanned, 2,748,400 kept, pace 1.05s, 9 throttled
  991,800/6,342,579 scanned, 2,748,600 kept, pace 1.05s, 9 throttled
  992,000/6,342,579 scanned, 2,748,800 kept, pace 1.05s, 9 throttled
  992,200/6,342,579 scanned, 2,749,000 kept, pace 1.05s, 9 throttled
  992,400/6,342,579 scanned, 2,749,200 kept, pace 1.05s, 9 throttled
  992,600/6,342,579 scanned, 2,749,400 kept, pace 1.05s, 9 throttled
  992,800/6,342,579 scanned, 2,749,600 kept, pace 1.05s, 9 throttled
  993,000/6,342,579 scanned, 2,749,800 kept, pace 1.05s, 9 throttled
  993,200/6,342,579 scanned, 2,750,000 kept, pace 1.05s, 9 throttled
  993,400/6,342,579 scanned, 2,750,200 kept, pace 1.05s, 9 throttled
  993,600/6,342,579 scanned, 2,750,400 kept, pace 1.05s, 9 throttled
  993,800/6,342,579 scanned, 2,750,600 kept, pace 1.05s, 9 throttled
  994,000/6,342,579 scanned, 2,750,800 kept, pace 1.05s, 9 throttled
  994,200/6,342,579 scanned, 2,751,000 kept, pace 1.05s, 9 throttled
  994,400/6,342,579 scanned, 2,751,200 kept, pace 1.05s, 9 throttled
  994,600/6,342,579 scanned, 2,751,400 kept, pace 1.05s, 9 throttled
  994,800/6,342,579 scanned, 2,751,600 kept, pace 1.05s, 9 throttled
  995,000/6,342,579 scanned, 2,751,800 kept, pace 1.05s, 9 throttled
  995,200/6,342,579 scanned, 2,752,000 kept, pace 1.05s, 9 throttled
  995,400/6,342,579 scanned, 2,752,200 kept, pace 1.05s, 9 throttled
  995,600/6,342,579 scanned, 2,752,400 kept, pace 1.05s, 9 throttled
  995,800/6,342,579 scanned, 2,752,600 kept, pace 1.05s, 9 throttled
  996,000/6,342,579 scanned, 2,752,800 kept, pace 1.05s, 9 throttled
  996,200/6,342,579 scanned, 2,753,000 kept, pace 1.05s, 9 throttled
  996,400/6,342,579 scanned, 2,753,200 kept, pace 1.05s, 9 throttled
  996,600/6,342,579 scanned, 2,753,400 kept, pace 1.05s, 9 throttled
  996,800/6,342,579 scanned, 2,753,600 kept, pace 1.05s, 9 throttled
  997,000/6,342,579 scanned, 2,753,800 kept, pace 1.05s, 9 throttled
  997,200/6,342,579 scanned, 2,754,000 kept, pace 1.05s, 9 throttled
  997,400/6,342,579 scanned, 2,754,200 kept, pace 1.05s, 9 throttled
  997,600/6,342,579 scanned, 2,754,400 kept, pace 1.05s, 9 throttled
  997,800/6,342,579 scanned, 2,754,600 kept, pace 1.05s, 9 throttled
  998,000/6,342,579 scanned, 2,754,800 kept, pace 1.05s, 9 throttled
  998,200/6,342,579 scanned, 2,755,000 kept, pace 1.05s, 9 throttled
  998,400/6,342,579 scanned, 2,755,200 kept, pace 1.05s, 9 throttled
  998,600/6,342,579 scanned, 2,755,400 kept, pace 1.05s, 9 throttled
  998,800/6,342,579 scanned, 2,755,600 kept, pace 1.05s, 9 throttled
  999,000/6,342,579 scanned, 2,755,800 kept, pace 1.05s, 9 throttled
  999,200/6,342,579 scanned, 2,756,000 kept, pace 1.05s, 9 throttled
  999,400/6,342,579 scanned, 2,756,200 kept, pace 1.05s, 9 throttled
  999,600/6,342,579 scanned, 2,756,400 kept, pace 1.05s, 9 throttled
  999,800/6,342,579 scanned, 2,756,600 kept, pace 1.05s, 9 throttled
  1,000,000/6,342,579 scanned, 2,756,800 kept, pace 1.05s, 9 throttled
  1,000,200/6,342,579 scanned, 2,757,000 kept, pace 1.05s, 9 throttled
  1,000,400/6,342,579 scanned, 2,757,200 kept, pace 1.05s, 9 throttled
  1,000,600/6,342,579 scanned, 2,757,400 kept, pace 1.05s, 9 throttled
  1,000,800/6,342,579 scanned, 2,757,600 kept, pace 1.05s, 9 throttled
  1,001,000/6,342,579 scanned, 2,757,800 kept, pace 1.05s, 9 throttled
  1,001,200/6,342,579 scanned, 2,758,000 kept, pace 1.05s, 9 throttled
  1,001,400/6,342,579 scanned, 2,758,200 kept, pace 1.05s, 9 throttled
  1,001,600/6,342,579 scanned, 2,758,400 kept, pace 1.05s, 9 throttled
  1,001,800/6,342,579 scanned, 2,758,600 kept, pace 1.05s, 9 throttled
  1,002,000/6,342,579 scanned, 2,758,800 kept, pace 1.05s, 9 throttled
  1,002,200/6,342,579 scanned, 2,759,000 kept, pace 1.05s, 9 throttled
  1,002,400/6,342,579 scanned, 2,759,200 kept, pace 1.05s, 9 throttled
  1,002,600/6,342,579 scanned, 2,759,400 kept, pace 1.05s, 9 throttled
  1,002,800/6,342,579 scanned, 2,759,600 kept, pace 1.05s, 9 throttled
  1,003,000/6,342,579 scanned, 2,759,800 kept, pace 1.05s, 9 throttled
  1,003,200/6,342,579 scanned, 2,760,000 kept, pace 1.05s, 9 throttled
  1,003,400/6,342,579 scanned, 2,760,200 kept, pace 1.05s, 9 throttled
  1,003,600/6,342,579 scanned, 2,760,400 kept, pace 1.05s, 9 throttled
  1,003,800/6,342,579 scanned, 2,760,600 kept, pace 1.05s, 9 throttled
  1,004,000/6,342,579 scanned, 2,760,800 kept, pace 1.05s, 9 throttled
  1,004,200/6,342,579 scanned, 2,761,000 kept, pace 1.05s, 9 throttled
  1,004,400/6,342,579 scanned, 2,761,200 kept, pace 1.05s, 9 throttled
  1,004,600/6,342,579 scanned, 2,761,400 kept, pace 1.05s, 9 throttled
  1,004,800/6,342,579 scanned, 2,761,600 kept, pace 1.05s, 9 throttled
  1,005,000/6,342,579 scanned, 2,761,800 kept, pace 1.05s, 9 throttled
  1,005,200/6,342,579 scanned, 2,762,000 kept, pace 1.05s, 9 throttled
  1,005,400/6,342,579 scanned, 2,762,200 kept, pace 1.05s, 9 throttled
  1,005,600/6,342,579 scanned, 2,762,400 kept, pace 1.05s, 9 throttled
  1,005,800/6,342,579 scanned, 2,762,600 kept, pace 1.05s, 9 throttled
  1,006,000/6,342,579 scanned, 2,762,800 kept, pace 1.05s, 9 throttled
  1,006,200/6,342,579 scanned, 2,763,000 kept, pace 1.05s, 9 throttled
  1,006,400/6,342,579 scanned, 2,763,200 kept, pace 1.05s, 9 throttled
  1,006,600/6,342,579 scanned, 2,763,400 kept, pace 1.05s, 9 throttled
  1,006,800/6,342,579 scanned, 2,763,600 kept, pace 1.05s, 9 throttled
  1,007,000/6,342,579 scanned, 2,763,800 kept, pace 1.05s, 9 throttled
  1,007,200/6,342,579 scanned, 2,764,000 kept, pace 1.05s, 9 throttled
  1,007,400/6,342,579 scanned, 2,764,200 kept, pace 1.05s, 9 throttled
  1,007,600/6,342,579 scanned, 2,764,400 kept, pace 1.05s, 9 throttled
  1,007,800/6,342,579 scanned, 2,764,600 kept, pace 1.05s, 9 throttled
  1,008,000/6,342,579 scanned, 2,764,800 kept, pace 1.05s, 9 throttled
  1,008,200/6,342,579 scanned, 2,765,000 kept, pace 1.05s, 9 throttled
  1,008,400/6,342,579 scanned, 2,765,200 kept, pace 1.05s, 9 throttled
  1,008,600/6,342,579 scanned, 2,765,400 kept, pace 1.05s, 9 throttled
  1,008,800/6,342,579 scanned, 2,765,600 kept, pace 1.05s, 9 throttled
  1,009,000/6,342,579 scanned, 2,765,800 kept, pace 1.05s, 9 throttled
  1,009,200/6,342,579 scanned, 2,766,000 kept, pace 1.05s, 9 throttled
  1,009,400/6,342,579 scanned, 2,766,200 kept, pace 1.05s, 9 throttled
  1,009,600/6,342,579 scanned, 2,766,400 kept, pace 1.05s, 9 throttled
  1,009,800/6,342,579 scanned, 2,766,600 kept, pace 1.05s, 9 throttled
  1,010,000/6,342,579 scanned, 2,766,800 kept, pace 1.05s, 9 throttled
  1,010,200/6,342,579 scanned, 2,767,000 kept, pace 1.05s, 9 throttled
  1,010,400/6,342,579 scanned, 2,767,200 kept, pace 1.05s, 9 throttled
  1,010,600/6,342,579 scanned, 2,767,400 kept, pace 1.05s, 9 throttled
  1,010,800/6,342,579 scanned, 2,767,600 kept, pace 1.05s, 9 throttled
  1,011,000/6,342,579 scanned, 2,767,800 kept, pace 1.05s, 9 throttled
  1,011,200/6,342,579 scanned, 2,768,000 kept, pace 1.05s, 9 throttled
  1,011,400/6,342,579 scanned, 2,768,200 kept, pace 1.05s, 9 throttled
  1,011,600/6,342,579 scanned, 2,768,400 kept, pace 1.05s, 9 throttled
  1,011,800/6,342,579 scanned, 2,768,600 kept, pace 1.05s, 9 throttled
  1,012,000/6,342,579 scanned, 2,768,800 kept, pace 1.05s, 9 throttled
  1,012,200/6,342,579 scanned, 2,769,000 kept, pace 1.05s, 9 throttled
  1,012,400/6,342,579 scanned, 2,769,200 kept, pace 1.05s, 9 throttled
  1,012,600/6,342,579 scanned, 2,769,400 kept, pace 1.05s, 9 throttled
  1,012,800/6,342,579 scanned, 2,769,600 kept, pace 1.05s, 9 throttled
  1,013,000/6,342,579 scanned, 2,769,800 kept, pace 1.05s, 9 throttled
  1,013,200/6,342,579 scanned, 2,770,000 kept, pace 1.05s, 9 throttled
  1,013,400/6,342,579 scanned, 2,770,200 kept, pace 1.05s, 9 throttled
  1,013,600/6,342,579 scanned, 2,770,400 kept, pace 1.05s, 9 throttled
  1,013,800/6,342,579 scanned, 2,770,600 kept, pace 1.05s, 9 throttled
  1,014,000/6,342,579 scanned, 2,770,800 kept, pace 1.05s, 9 throttled
  1,014,200/6,342,579 scanned, 2,771,000 kept, pace 1.05s, 9 throttled
  1,014,400/6,342,579 scanned, 2,771,200 kept, pace 1.05s, 9 throttled
  1,014,600/6,342,579 scanned, 2,771,400 kept, pace 1.05s, 9 throttled
  1,014,800/6,342,579 scanned, 2,771,600 kept, pace 1.05s, 9 throttled
  1,015,000/6,342,579 scanned, 2,771,800 kept, pace 1.05s, 9 throttled
  1,015,200/6,342,579 scanned, 2,772,000 kept, pace 1.05s, 9 throttled
  1,015,400/6,342,579 scanned, 2,772,200 kept, pace 1.05s, 9 throttled
  1,015,600/6,342,579 scanned, 2,772,400 kept, pace 1.05s, 9 throttled
  1,015,800/6,342,579 scanned, 2,772,600 kept, pace 1.05s, 9 throttled
  1,016,000/6,342,579 scanned, 2,772,800 kept, pace 1.05s, 9 throttled
  1,016,200/6,342,579 scanned, 2,773,000 kept, pace 1.05s, 9 throttled
  1,016,400/6,342,579 scanned, 2,773,200 kept, pace 1.05s, 9 throttled
  1,016,600/6,342,579 scanned, 2,773,400 kept, pace 1.05s, 9 throttled
  1,016,800/6,342,579 scanned, 2,773,600 kept, pace 1.05s, 9 throttled
  1,017,000/6,342,579 scanned, 2,773,800 kept, pace 1.05s, 9 throttled
  1,017,200/6,342,579 scanned, 2,774,000 kept, pace 1.05s, 9 throttled
  1,017,400/6,342,579 scanned, 2,774,200 kept, pace 1.05s, 9 throttled
  1,017,600/6,342,579 scanned, 2,774,400 kept, pace 1.05s, 9 throttled
  1,017,800/6,342,579 scanned, 2,774,600 kept, pace 1.05s, 9 throttled
  1,018,000/6,342,579 scanned, 2,774,800 kept, pace 1.05s, 9 throttled
  1,018,200/6,342,579 scanned, 2,775,000 kept, pace 1.05s, 9 throttled
  1,018,400/6,342,579 scanned, 2,775,200 kept, pace 1.05s, 9 throttled
  1,018,600/6,342,579 scanned, 2,775,400 kept, pace 1.05s, 9 throttled
  1,018,800/6,342,579 scanned, 2,775,600 kept, pace 1.05s, 9 throttled
  1,019,000/6,342,579 scanned, 2,775,800 kept, pace 1.05s, 9 throttled
  1,019,200/6,342,579 scanned, 2,776,000 kept, pace 1.05s, 9 throttled
  1,019,400/6,342,579 scanned, 2,776,200 kept, pace 1.05s, 9 throttled
  1,019,600/6,342,579 scanned, 2,776,400 kept, pace 1.05s, 9 throttled
  1,019,800/6,342,579 scanned, 2,776,600 kept, pace 1.05s, 9 throttled
  1,020,000/6,342,579 scanned, 2,776,800 kept, pace 1.05s, 9 throttled
  1,020,200/6,342,579 scanned, 2,777,000 kept, pace 1.05s, 9 throttled
  1,020,400/6,342,579 scanned, 2,777,200 kept, pace 1.05s, 9 throttled
  1,020,600/6,342,579 scanned, 2,777,400 kept, pace 1.05s, 9 throttled
  1,020,800/6,342,579 scanned, 2,777,600 kept, pace 1.05s, 9 throttled
  1,021,000/6,342,579 scanned, 2,777,800 kept, pace 1.05s, 9 throttled
  1,021,200/6,342,579 scanned, 2,778,000 kept, pace 1.05s, 9 throttled
  1,021,400/6,342,579 scanned, 2,778,200 kept, pace 1.05s, 9 throttled
  1,021,600/6,342,579 scanned, 2,778,400 kept, pace 1.05s, 9 throttled
  1,021,800/6,342,579 scanned, 2,778,600 kept, pace 1.05s, 9 throttled
  1,022,000/6,342,579 scanned, 2,778,800 kept, pace 1.05s, 9 throttled
  1,022,200/6,342,579 scanned, 2,779,000 kept, pace 1.05s, 9 throttled
  1,022,400/6,342,579 scanned, 2,779,200 kept, pace 1.05s, 9 throttled
  1,022,600/6,342,579 scanned, 2,779,400 kept, pace 1.05s, 9 throttled
  1,022,800/6,342,579 scanned, 2,779,600 kept, pace 1.05s, 9 throttled
  1,023,000/6,342,579 scanned, 2,779,800 kept, pace 1.05s, 9 throttled
  1,023,200/6,342,579 scanned, 2,780,000 kept, pace 1.05s, 9 throttled
  1,023,400/6,342,579 scanned, 2,780,200 kept, pace 1.05s, 9 throttled
  1,023,600/6,342,579 scanned, 2,780,400 kept, pace 1.05s, 9 throttled
  1,023,800/6,342,579 scanned, 2,780,600 kept, pace 1.05s, 9 throttled
  1,024,000/6,342,579 scanned, 2,780,800 kept, pace 1.05s, 9 throttled
  1,024,200/6,342,579 scanned, 2,781,000 kept, pace 1.05s, 9 throttled
  1,024,400/6,342,579 scanned, 2,781,200 kept, pace 1.05s, 9 throttled
  1,024,600/6,342,579 scanned, 2,781,400 kept, pace 1.05s, 9 throttled
  1,024,800/6,342,579 scanned, 2,781,600 kept, pace 1.05s, 9 throttled
  1,025,000/6,342,579 scanned, 2,781,800 kept, pace 1.05s, 9 throttled
  1,025,200/6,342,579 scanned, 2,782,000 kept, pace 1.05s, 9 throttled
  1,025,400/6,342,579 scanned, 2,782,200 kept, pace 1.05s, 9 throttled
  1,025,600/6,342,579 scanned, 2,782,400 kept, pace 1.05s, 9 throttled
  1,025,800/6,342,579 scanned, 2,782,600 kept, pace 1.05s, 9 throttled
  1,026,000/6,342,579 scanned, 2,782,800 kept, pace 1.05s, 9 throttled
  1,026,200/6,342,579 scanned, 2,783,000 kept, pace 1.05s, 9 throttled
  1,026,400/6,342,579 scanned, 2,783,200 kept, pace 1.05s, 9 throttled
  1,026,600/6,342,579 scanned, 2,783,400 kept, pace 1.05s, 9 throttled
  1,026,800/6,342,579 scanned, 2,783,600 kept, pace 1.05s, 9 throttled
  1,027,000/6,342,579 scanned, 2,783,800 kept, pace 1.05s, 9 throttled
  1,027,200/6,342,579 scanned, 2,784,000 kept, pace 1.05s, 9 throttled
  1,027,400/6,342,579 scanned, 2,784,200 kept, pace 1.05s, 9 throttled
  1,027,600/6,342,579 scanned, 2,784,400 kept, pace 1.05s, 9 throttled
  1,027,800/6,342,579 scanned, 2,784,600 kept, pace 1.05s, 9 throttled
  1,028,000/6,342,579 scanned, 2,784,800 kept, pace 1.05s, 9 throttled
  1,028,200/6,342,579 scanned, 2,785,000 kept, pace 1.05s, 9 throttled
  1,028,400/6,342,579 scanned, 2,785,200 kept, pace 1.05s, 9 throttled
  1,028,600/6,342,579 scanned, 2,785,400 kept, pace 1.05s, 9 throttled
  1,028,800/6,342,579 scanned, 2,785,600 kept, pace 1.05s, 9 throttled
  1,029,000/6,342,579 scanned, 2,785,800 kept, pace 1.05s, 9 throttled
  1,029,200/6,342,579 scanned, 2,786,000 kept, pace 1.05s, 9 throttled
  1,029,400/6,342,579 scanned, 2,786,200 kept, pace 1.05s, 9 throttled
  1,029,600/6,342,579 scanned, 2,786,400 kept, pace 1.05s, 9 throttled
  1,029,800/6,342,579 scanned, 2,786,600 kept, pace 1.05s, 9 throttled
  1,030,000/6,342,579 scanned, 2,786,800 kept, pace 1.05s, 9 throttled
  1,030,200/6,342,579 scanned, 2,787,000 kept, pace 1.05s, 9 throttled
  1,030,400/6,342,579 scanned, 2,787,200 kept, pace 1.05s, 9 throttled
  1,030,600/6,342,579 scanned, 2,787,400 kept, pace 1.05s, 9 throttled
  1,030,800/6,342,579 scanned, 2,787,600 kept, pace 1.05s, 9 throttled
  1,031,000/6,342,579 scanned, 2,787,800 kept, pace 1.05s, 9 throttled
  1,031,200/6,342,579 scanned, 2,788,000 kept, pace 1.05s, 9 throttled
  1,031,400/6,342,579 scanned, 2,788,200 kept, pace 1.05s, 9 throttled
  1,031,600/6,342,579 scanned, 2,788,400 kept, pace 1.05s, 9 throttled
  1,031,800/6,342,579 scanned, 2,788,600 kept, pace 1.05s, 9 throttled
